 Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
91.83	6.12625479e-10	-8.819604166666667e-06	1.6118941666666668e-06	8.958294166666665e-06	169.771
91.84	6.12692192e-10	-8.4608875e-06	1.5001350000000002e-06	8.633184166666667e-06	169.9995
91.85	6.127589049999999e-10	-8.527481666666665e-06	1.8602491666666669e-06	8.725231666666665e-06	167.6835
91.86	6.12825618e-10	-8.7201075e-06	2.0461283333333333e-06	8.9482825e-06	166.7975
91.87	6.12892331e-10	-8.475404166666668e-06	1.9647175e-06	8.671913333333333e-06	166.8855
91.88	6.12959044e-10	-8.214865833333334e-06	1.6046775000000002e-06	8.366905833333333e-06	169.078
91.89	6.13025757e-10	-9.141843333333334e-06	1.8257125e-06	9.3323025e-06	168.8
91.9	6.1309247e-10	-8.947196666666665e-06	1.8827566666666665e-06	9.131520833333333e-06	168.043
91.91	6.13159183e-10	-8.660504166666667e-06	1.785975e-06	8.844984166666667e-06	168.352
91.92	6.13225896e-10	-8.450646666666667e-06	1.6184916666666665e-06	8.614094166666666e-06	169.1865
91.93	6.132926090000001e-10	-8.368224999999999e-06	2.0225333333333335e-06	8.58468e-06	166.271
91.94	6.13359322e-10	-8.4317875e-06	1.9077475e-06	8.628063333333335e-06	167.3405
91.95	6.134260349999999e-10	-8.6600375e-06	1.7791458333333333e-06	8.819994166666667e-06	168.3445
91.96	6.13492748e-10	-8.527326666666666e-06	1.5342824999999997e-06	8.6750175e-06	169.8905
91.97	6.135594609999999e-10	-8.554100833333333e-06	1.8754608333333333e-06	8.736640000000001e-06	167.6485
91.98	6.13626174e-10	-8.538811666666667e-06	1.5460808333333334e-06	8.665005833333334e-06	169.5995
91.99	6.136928869999999e-10	-8.500395000000002e-06	1.7640108333333333e-06	8.705131666666667e-06	168.2995
92.0	6.137595999999999e-10	-8.748049166666667e-06	1.9054191666666667e-06	8.980878333333332e-06	167.72050000000002
92.01	6.13826313e-10	-8.631944166666666e-06	1.7820183333333333e-06	8.789105e-06	168.259
92.02	6.138930259999999e-10	-8.446144999999998e-06	1.8236175e-06	8.6662475e-06	168.011
92.03	6.13959739e-10	-8.535861666666667e-06	1.7060375000000001e-06	8.6941875e-06	168.694
92.04	6.14026452e-10	-8.739123333333332e-06	1.976511666666667e-06	8.954103333333333e-06	167.259
92.05	6.140931649999999e-10	-8.624184166666667e-06	1.7765091666666667e-06	8.817043333333333e-06	168.425
92.06	6.14159878e-10	-8.816735e-06	1.5626899999999998e-06	8.948669999999999e-06	169.881
92.07	6.142265909999999e-10	-8.653365e-06	1.9822550000000003e-06	8.86749e-06	167.1435
92.08	6.14293304e-10	-8.527793333333332e-06	1.6600141666666665e-06	8.705985e-06	169.07399999999998
92.09	6.14360017e-10	-8.667567500000001e-06	1.8992875e-06	8.865474166666667e-06	167.6165
92.1	6.144267299999999e-10	-8.658253333333334e-06	1.9579616666666664e-06	8.869197500000001e-06	167.232
92.11	6.14493443e-10	-8.514055e-06	1.7672708333333333e-06	8.679441666666667e-06	168.249
92.12	6.14560156e-10	-8.848011666666667e-06	1.7848116666666666e-06	9.035360833333335e-06	168.51
92.13	6.146268689999999e-10	-9.16342e-06	1.7279225e-06	9.317706666666667e-06	169.4625
92.14	6.14693582e-10	-8.455845e-06	1.8075516666666667e-06	8.637376666666667e-06	167.8315
92.15	6.14760295e-10	-8.609980833333334e-06	1.6668408333333336e-06	8.793605e-06	169.043
92.16	6.14827008e-10	-8.449480833333332e-06	1.6134458333333333e-06	8.62721e-06	169.1745
92.17	6.14893721e-10	-9.106764166666667e-06	1.8736766666666666e-06	9.333385e-06	168.2645
92.18	6.14960434e-10	-8.958060833333332e-06	1.7500416666666667e-06	9.097139166666666e-06	168.863
92.19	6.15027147e-10	-8.920575833333333e-06	1.7012225e-06	9.076339166666666e-06	169.19650000000001
